Year,Date,Site,Gear Type,GSI_Avg,Temp_Net,Standard_Error,Stadard_Dev,med_GSI,Type
2019,2019-07-10,HI,Cage,8.60,12.41,1.11,3.51,7.284,AQ
2019,2019-07-10,HI,Lantern_Net,12.00,12.23,1.35,4.27,11.565,AQ
2019,2019-07-16,HI,Cage,11.53,12.61,1.31,4.15,9.3185,AQ
2019,2019-07-16,HI,Lantern_Net,13.19,12.55,1.40,4.44,12.1175,AQ
2019,2019-07-24,HI,Cage,12.51,13.73,1.57,4.96,13.1135,AQ
2019,2019-07-24,HI,Lantern_Net,15.03,13.62,1.61,5.10,14.931,AQ
2019,2019-08-02,HI,Cage,16.19,13.38,1.44,4.55,17.8825,AQ
2019,2019-08-02,HI,Lantern_Net,12.60,13.29,1.12,3.53,11.6585,AQ
2019,2019-08-07,HI,Cage,20.23,13.58,1.23,3.90,19.454,AQ
2019,2019-08-07,HI,Lantern_Net,16.27,13.43,1.71,5.41,16.177,AQ
2019,2019-08-15,HI,Cage,13.74,14.27,1.44,4.55,12.695,AQ
2019,2019-08-15,HI,Lantern_Net,17.35,14.23,1.64,5.20,18.69,AQ
2019,2019-08-22,HI,Cage,17.01,14.54,1.53,4.85,16.2795,AQ
2019,2019-08-22,HI,Lantern_Net,14.92,14.46,1.85,5.85,13.5735,AQ
2019,2019-08-27,HI,Cage,14.76,14.76,1.80,5.70,14.35,AQ
2019,2019-08-29,HI,Lantern_Net,19.32,13.95,1.95,6.18,20.8655,AQ
2019,2019-09-05,HI,Cage,14.21,13.92,1.30,4.13,13.72,AQ
2019,2019-09-05,HI,Lantern_Net,22.42,13.74,2.25,7.12,22.8595,AQ
2019,2019-09-11,HI,Cage,14.86,21.79,1.78,5.64,14.7495,AQ
2019,2019-09-11,HI,Lantern_Net,17.01,13.67,2.36,7.46,20.2165,AQ
2019,2019-10-11,HI,Cage,10.86,12.37,3.90,12.33,7.8725,AQ
2019,2019-10-11,HI,Lantern_Net,10.11,NA,1.87,5.90,7.893,AQ
2019,2019-11-11,HI,Lantern_Net,4.75,NA,0.32,1.00,6.1695,AQ
2019,2019-11-11,HI,Cage,6.07,NA,0.46,1.45,4.4725,AQ
2019,2019-12-17,HI,Cage,4.30,6.03,0.23,0.71,4.1775,AQ
2019,2019-12-17,HI,Lantern_Net,6.54,5.74,1.75,5.54,5.4435,AQ
