ISO 8601 Time,Speed (cm/s),Heading (degrees),Velocity-N (cm/s),Velocity-E (cm/s)
2023-08-29T12:00:00.000,8.27,99.16,-1.32,8.16
2023-08-29T12:10:00.000,12.58,91.65,-0.36,12.58
2023-08-29T12:20:00.000,13.75,85.37,1.11,13.70
2023-08-29T12:30:00.000,13.17,89.29,0.16,13.17
2023-08-29T12:40:00.000,15.67,84.94,1.38,15.61
2023-08-29T12:50:00.000,11.98,107.35,-3.57,11.43
2023-08-29T13:00:00.000,10.28,353.82,10.22,-1.11
2023-08-29T13:10:00.000,11.06,3.89,11.04,0.75
2023-08-29T13:20:00.000,5.62,20.49,5.26,1.97
2023-08-29T13:30:00.000,4.39,344.12,4.22,-1.20
2023-08-29T13:40:00.000,5.30,323.51,4.26,-3.15
2023-08-29T13:50:00.000,5.61,335.49,5.10,-2.33
2023-08-29T14:00:00.000,4.14,315.78,2.97,-2.89
2023-08-29T14:10:00.000,4.97,308.57,3.10,-3.88
2023-08-29T14:20:00.000,4.82,303.55,2.66,-4.02
2023-08-29T14:30:00.000,4.92,291.22,1.78,-4.58
2023-08-29T14:40:00.000,4.03,292.96,1.57,-3.71
2023-08-29T14:50:00.000,2.03,301.78,1.07,-1.72
2023-08-29T15:00:00.000,0.85,122.39,-0.46,0.72
2023-08-29T15:10:00.000,1.76,155.46,-1.60,0.73
2023-08-29T15:20:00.000,2.48,57.10,1.34,2.08
2023-08-29T15:30:00.000,2.64,71.95,0.82,2.51
2023-08-29T15:40:00.000,4.98,128.94,-3.13,3.87
2023-08-29T15:50:00.000,3.65,142.56,-2.90,2.22
2023-08-29T16:00:00.000,3.28,218.24,-2.57,-2.03
2023-08-29T16:10:00.000,0.77,90.65,-0.01,0.77
2023-08-29T16:20:00.000,2.87,289.58,0.96,-2.71
2023-08-29T16:30:00.000,2.25,197.47,-2.14,-0.67
2023-08-29T16:40:00.000,1.79,351.61,1.77,-0.26
2023-08-29T16:50:00.000,1.89,353.43,1.88,-0.22
2023-08-29T17:00:00.000,1.97,302.93,1.07,-1.66
2023-08-29T17:10:00.000,1.79,310.78,1.17,-1.36
2023-08-29T17:20:00.000,2.54,304.43,1.44,-2.10
2023-08-29T17:30:00.000,1.21,333.95,1.09,-0.53
2023-08-29T17:40:00.000,1.20,295.82,0.52,-1.08
2023-08-29T17:50:00.000,1.66,272.92,0.08,-1.66
2023-08-29T18:00:00.000,2.21,296.02,0.97,-1.98
2023-08-29T18:10:00.000,1.62,266.73,-0.09,-1.62
2023-08-29T18:20:00.000,2.94,18.98,2.78,0.96
2023-08-29T18:30:00.000,3.93,325.45,3.24,-2.23
2023-08-29T18:40:00.000,3.92,347.94,3.83,-0.82
2023-08-29T18:50:00.000,4.58,259.88,-0.80,-4.51
2023-08-29T19:00:00.000,4.13,327.25,3.47,-2.23
2023-08-29T19:10:00.000,2.56,23.45,2.35,1.02
2023-08-29T19:20:00.000,2.45,10.17,2.41,0.43
2023-08-29T19:30:00.000,0.63,216.13,-0.51,-0.37
2023-08-29T19:40:00.000,6.48,165.88,-6.29,1.58
2023-08-29T19:50:00.000,6.04,176.40,-6.03,0.38
2023-08-29T20:00:00.000,3.86,183.08,-3.85,-0.21
2023-08-29T20:10:00.000,1.85,309.43,1.18,-1.43
2023-08-29T20:20:00.000,1.91,209.87,-1.66,-0.95
2023-08-29T20:30:00.000,1.62,357.32,1.62,-0.08
2023-08-29T20:40:00.000,4.09,349.96,4.03,-0.71
2023-08-29T20:50:00.000,6.27,314.32,4.38,-4.49
2023-08-29T21:00:00.000,4.46,290.48,1.56,-4.18
