ISO 8601 Time,Speed (cm/s),Heading (degrees),Velocity-N (cm/s),Velocity-E (cm/s)
2023-06-09T13:30:00.000,0.89,253.51,-0.25,-0.85
2023-06-09T13:40:00.000,4.43,180.83,-4.43,-0.06
2023-06-09T13:50:00.000,6.56,193.37,-6.38,-1.52
2023-06-09T14:00:00.000,5.16,156.49,-4.73,2.06
2023-06-09T14:10:00.000,5.27,186.35,-5.24,-0.58
2023-06-09T14:20:00.000,7.57,175.41,-7.55,0.61
2023-06-09T14:30:00.000,5.50,174.47,-5.47,0.53
2023-06-09T14:40:00.000,9.31,176.10,-9.29,0.63
2023-06-09T14:50:00.000,4.84,206.17,-4.34,-2.13
2023-06-09T15:00:00.000,1.81,301.05,0.93,-1.55
2023-06-09T15:10:00.000,1.63,1.65,1.63,0.05
2023-06-09T15:20:00.000,2.00,339.78,1.88,-0.69
2023-06-09T15:30:00.000,1.68,193.75,-1.63,-0.40
2023-06-09T15:40:00.000,6.04,181.43,-6.03,-0.15
2023-06-09T15:50:00.000,20.92,174.14,-20.81,2.14
2023-06-09T16:00:00.000,17.07,166.04,-16.57,4.12
2023-06-09T16:10:00.000,9.53,151.07,-8.34,4.61
2023-06-09T16:20:00.000,6.99,151.46,-6.14,3.34
2023-06-09T16:30:00.000,4.98,140.90,-3.86,3.14
2023-06-09T16:40:00.000,3.68,138.44,-2.76,2.44
2023-06-09T16:50:00.000,4.33,105.93,-1.19,4.16
2023-06-09T17:00:00.000,4.06,138.47,-3.04,2.69
2023-06-09T17:10:00.000,7.43,128.07,-4.58,5.85
2023-06-09T17:20:00.000,7.61,134.07,-5.29,5.47
2023-06-09T17:30:00.000,8.21,125.15,-4.73,6.71
2023-06-09T17:40:00.000,13.96,133.61,-9.63,10.11
2023-06-09T17:50:00.000,7.39,120.17,-3.71,6.39
2023-06-09T18:00:00.000,17.42,120.42,-8.82,15.02
2023-06-09T18:10:00.000,25.77,113.40,-10.23,23.65
2023-06-09T18:20:00.000,27.15,111.38,-9.90,25.28
2023-06-09T18:30:00.000,18.73,106.23,-5.23,17.98
2023-06-09T18:40:00.000,11.68,106.55,-3.32,11.19
