ISO 8601 Time,Speed (cm/s),Heading (degrees),Velocity-N (cm/s),Velocity-E (cm/s)
2023-07-27T10:56:39.000,10.58,161.29,-10.02,3.39
2023-07-27T11:06:39.000,21.05,325.81,17.42,-11.83
2023-07-27T11:16:39.000,2.59,318.02,1.92,-1.73
2023-07-27T11:26:39.000,1.94,12.90,1.89,0.43
2023-07-27T11:36:39.000,1.61,350.05,1.59,-0.28
2023-07-27T11:46:39.000,2.45,65.59,1.01,2.23
2023-07-27T11:56:39.000,2.67,88.10,0.09,2.67
2023-07-27T12:06:39.000,3.85,87.84,0.15,3.85
2023-07-27T12:16:39.000,0.73,271.68,0.02,-0.73
2023-07-27T12:26:39.000,0.85,172.43,-0.84,0.11
2023-07-27T12:36:39.000,2.01,151.82,-1.77,0.95
2023-07-27T12:46:39.000,1.98,153.62,-1.77,0.88
2023-07-27T12:56:39.000,2.61,153.70,-2.34,1.16
2023-07-27T13:06:39.000,2.71,127.78,-1.66,2.14
2023-07-27T13:16:39.000,2.31,207.80,-2.04,-1.08
2023-07-27T13:26:39.000,0.97,178.69,-0.97,0.02
2023-07-27T13:36:39.000,2.57,229.99,-1.65,-1.97
2023-07-27T13:46:39.000,2.59,233.45,-1.54,-2.08
2023-07-27T13:56:39.000,1.35,208.21,-1.19,-0.64
2023-07-27T14:06:39.000,1.37,148.08,-1.16,0.72
2023-07-27T14:16:39.000,0.29,255.34,-0.07,-0.28
2023-07-27T14:26:39.000,1.98,236.89,-1.08,-1.66
2023-07-27T14:36:39.000,1.28,246.77,-0.51,-1.18
2023-07-27T14:46:39.000,0.75,355.19,0.75,-0.06
2023-07-27T14:56:39.000,1.91,82.79,0.24,1.90
2023-07-27T15:06:39.000,2.33,162.18,-2.22,0.71
2023-07-27T15:16:39.000,2.83,141.93,-2.23,1.75
2023-07-27T15:26:39.000,4.81,158.93,-4.49,1.73
2023-07-27T15:36:39.000,2.59,187.64,-2.56,-0.34
2023-07-27T15:46:39.000,4.71,190.77,-4.63,-0.88
2023-07-27T15:56:39.000,2.14,208.35,-1.88,-1.01
2023-07-27T16:06:39.000,2.53,233.91,-1.49,-2.05
2023-07-27T16:16:39.000,2.22,214.84,-1.82,-1.27
2023-07-27T16:26:39.000,1.32,131.53,-0.87,0.99
2023-07-27T16:36:39.000,0.44,140.77,-0.34,0.28
2023-07-27T16:46:39.000,0.46,154.22,-0.41,0.20
2023-07-27T16:56:39.000,1.74,136.95,-1.27,1.19
2023-07-27T17:06:39.000,3.00,133.37,-2.06,2.18
2023-07-27T17:16:39.000,7.77,162.27,-7.40,2.37
2023-07-27T17:26:39.000,9.03,148.89,-7.73,4.66
2023-07-27T17:36:39.000,4.13,156.93,-3.80,1.62
2023-07-27T17:46:39.000,4.12,316.67,3.00,-2.83
2023-07-27T17:56:39.000,6.83,325.35,5.62,-3.88
2023-07-27T18:06:39.000,4.08,341.18,3.86,-1.32
2023-07-27T18:16:39.000,6.98,321.89,5.49,-4.31
2023-07-27T18:26:39.000,2.63,303.77,1.46,-2.18
2023-07-27T18:36:39.000,5.05,303.77,2.81,-4.20
2023-07-27T18:46:39.000,3.86,322.93,3.08,-2.33
2023-07-27T18:56:39.000,5.02,1.02,5.02,0.09
2023-07-27T19:06:39.000,5.70,341.40,5.40,-1.82
2023-07-27T19:16:39.000,5.31,52.47,3.24,4.21
2023-07-27T19:26:39.000,5.70,109.00,-1.86,5.39
2023-07-27T19:36:39.000,4.13,78.70,0.81,4.05
2023-07-27T19:46:39.000,0.48,23.85,0.44,0.19
2023-07-27T19:56:39.000,4.34,101.85,-0.89,4.25
2023-07-27T20:06:39.000,1.65,95.19,-0.15,1.65
2023-07-27T20:16:39.000,1.71,85.43,0.14,1.70
2023-07-27T20:26:39.000,4.86,118.06,-2.29,4.29
2023-07-27T20:36:39.000,3.36,95.30,-0.31,3.35
2023-07-27T20:46:39.000,5.38,42.57,3.96,3.64
2023-07-27T20:56:39.000,7.38,62.62,3.40,6.56
2023-07-27T21:06:39.000,2.49,109.50,-0.83,2.35
2023-07-27T21:16:39.000,6.89,125.13,-3.96,5.63
2023-07-27T21:26:39.000,7.89,126.13,-4.65,6.37
2023-07-27T21:36:39.000,3.33,64.79,1.42,3.01
2023-07-27T21:46:39.000,7.44,96.41,-0.83,7.39
2023-07-27T21:56:39.000,8.15,100.50,-1.48,8.01
2023-07-27T22:06:39.000,5.41,94.54,-0.43,5.39
2023-07-27T22:16:39.000,3.71,26.24,3.33,1.64
2023-07-27T22:26:39.000,3.48,59.48,1.77,3.00
2023-07-27T22:36:39.000,6.97,117.52,-3.22,6.18
2023-07-27T22:46:39.000,4.96,136.72,-3.61,3.40
2023-07-27T22:56:39.000,3.82,146.14,-3.17,2.13
2023-07-27T23:06:39.000,1.37,229.17,-0.90,-1.04
2023-07-27T23:16:39.000,3.91,313.35,2.69,-2.85
2023-07-27T23:26:39.000,3.49,273.66,0.22,-3.48
2023-07-27T23:36:39.000,2.89,274.61,0.23,-2.88
2023-07-27T23:46:39.000,2.81,182.01,-2.81,-0.10
2023-07-27T23:56:39.000,0.18,122.80,-0.10,0.15
2023-07-28T00:06:39.000,3.25,57.85,1.73,2.75
2023-07-28T00:16:39.000,3.23,347.63,3.15,-0.69
2023-07-28T00:26:39.000,1.68,320.62,1.30,-1.06
2023-07-28T00:36:39.000,2.64,157.66,-2.44,1.00
2023-07-28T00:46:39.000,1.85,233.49,-1.10,-1.49
2023-07-28T00:56:39.000,1.37,250.93,-0.45,-1.30
2023-07-28T01:06:39.000,2.13,353.32,2.11,-0.25
2023-07-28T01:16:39.000,1.71,12.49,1.67,0.37
2023-07-28T01:26:39.000,1.18,184.34,-1.18,-0.09
2023-07-28T01:36:39.000,0.96,65.62,0.40,0.87
2023-07-28T01:46:39.000,1.54,325.55,1.27,-0.87
2023-07-28T01:56:39.000,2.37,332.69,2.11,-1.09
2023-07-28T02:06:39.000,2.88,306.94,1.73,-2.30
2023-07-28T02:16:39.000,1.53,173.02,-1.52,0.19
2023-07-28T02:26:39.000,1.52,190.79,-1.50,-0.29
2023-07-28T02:36:39.000,1.30,189.93,-1.28,-0.22
2023-07-28T02:46:39.000,1.94,185.33,-1.93,-0.18
2023-07-28T02:56:39.000,2.73,198.05,-2.59,-0.85
2023-07-28T03:06:39.000,1.57,144.86,-1.28,0.90
2023-07-28T03:16:39.000,3.00,167.16,-2.93,0.67
2023-07-28T03:26:39.000,0.12,62.66,0.05,0.10
2023-07-28T03:36:39.000,1.82,146.23,-1.51,1.01
2023-07-28T03:46:39.000,2.32,138.25,-1.73,1.54
2023-07-28T03:56:39.000,1.89,188.14,-1.87,-0.27
2023-07-28T04:06:39.000,1.65,182.77,-1.65,-0.08
